W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
W,F,F,F,F,F,F,F,F,F,F,F,F,W,W,F,F,F,F,F,F,F,F,F,F,F,F,W
W,F,W,W,W,W,F,W,W,W,W,W,F,W,W,F,W,W,W,W,W,F,W,W,W,W,F,W
W,P,W,S,S,W,F,W,S,S,S,W,F,W,W,F,W,S,S,S,W,F,W,S,S,W,P,W
W,F,W,W,W,W,F,W,W,W,W,W,F,W,W,F,W,W,W,W,W,F,W,W,W,W,F,W
W,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,W
W,F,W,W,W,W,F,W,W,F,W,W,W,W,W,W,W,W,F,W,W,F,W,W,W,W,F,W
W,F,W,W,W,W,F,W,W,F,W,W,W,W,W,W,W,W,F,W,W,F,W,W,W,W,F,W
W,F,F,F,F,F,F,W,W,F,F,F,F,W,W,F,F,F,F,W,W,F,F,F,F,F,F,W
W,W,W,W,W,W,F,W,W,W,W,W,F,W,W,F,W,W,W,W,W,F,W,W,W,W,W,W
S,S,S,S,S,W,F,W,W,W,W,W,S,W,W,S,W,W,W,W,W,F,W,S,S,S,S,S
S,S,S,S,S,W,F,W,W,S,S,S,S,S,S,S,S,S,S,W,W,F,W,S,S,S,S,S
S,S,S,S,S,W,F,W,W,S,W,W,W,W,W,W,W,W,S,W,W,F,W,S,S,S,S,S
W,W,W,W,W,W,F,W,W,S,W,S,S,S,S,S,S,W,S,W,W,F,W,W,W,W,W,W
T,S,S,S,S,S,F,S,S,S,W,S,S,S,S,S,S,W,S,S,S,F,S,S,S,S,S,T
W,W,W,W,W,W,F,W,W,S,W,S,S,S,S,S,S,W,S,W,W,F,W,W,W,W,W,W
S,S,S,S,S,W,F,W,W,S,W,W,W,W,W,W,W,W,S,W,W,F,W,S,S,S,S,S
S,S,S,S,S,W,F,W,W,S,S,S,S,S,S,S,S,S,S,W,W,F,W,S,S,S,S,S
S,S,S,S,S,W,F,W,W,S,W,W,W,W,W,W,W,W,S,W,W,F,W,S,S,S,S,S
W,W,W,W,W,W,F,W,W,S,W,W,W,W,W,W,W,W,S,W,W,F,W,W,W,W,W,W
W,F,F,F,F,F,F,F,F,F,F,F,F,W,W,F,F,F,F,F,F,F,F,F,F,F,F,W
W,F,W,W,W,W,F,W,W,W,W,W,F,W,W,F,W,W,W,W,W,F,W,W,W,W,F,W
W,F,W,W,W,W,F,W,W,W,W,W,F,W,W,F,W,W,W,W,W,F,W,W,W,W,F,W
W,P,F,F,W,W,F,F,F,F,F,F,F,S,S,F,F,F,F,F,F,F,W,W,F,F,P,W
W,W,W,F,W,W,F,W,W,F,W,W,W,W,W,W,W,W,F,W,W,F,W,W,F,W,W,W
W,W,W,F,W,W,F,W,W,F,W,W,W,W,W,W,W,W,F,W,W,F,W,W,F,W,W,W
W,F,F,F,F,F,F,W,W,F,F,F,F,W,W,F,F,F,F,W,W,F,F,F,F,F,F,W
W,F,W,W,W,W,W,W,W,W,W,W,F,W,W,F,W,W,W,W,W,W,W,W,W,W,F,W
W,F,W,W,W,W,W,W,W,W,W,W,F,W,W,F,W,W,W,W,W,W,W,W,W,W,F,W
W,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,W
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
